CArea,CFFact,CPolar,NArea,NFFact,NPolar,NCCave,NCaveMaxPiece,ODR,ODG,ODB,NODR,NODG,NODB,Nucls,Segms,Holes,Tails,Nucleols,NuclDensBrd,NuclZDens,NuclEuFraq,NuclEuMeanDF,NuclEuFFDist,NuclEuFFChain,GrODR,GrODG,GrODB,GrODH,ODRCN,ODGCN,ODBCN,GrRODR,GrRODG,GrRODB,Type_real
452.9321227626,24.1036251388,0.5535501399,217.4382831252,47.9907898509,0.6545904968,0.4638041164,0.9372609028,0.2223094719,0.4272432892,0.1147206572,0.6066408353,1.1856129009,0.2401428784,2.0,3.0,0.0,4.0,0.0,0.5304489732,0.6112653017,0.4263959527,0.3260582089,576.6857299805,1092.9656982422,0.2521767914,0.4810152948,0.0683930293,66.0,0.3664597880062955,0.3603564779665261,0.4777183398664551,0.8815619814409298,0.8882114432091859,1.6773735331533268,artefacts
629.5525024907,20.8237952379,0.3866959253,240.432111504,37.7072730547,0.6491150505,0.4239409499,0.8349735049,0.2392099537,0.4188916699,0.1013342478,0.5623537951,1.1667801655,0.2317952728,2.0,3.0,0.0,4.0,0.0,0.6219459772,0.6155539751,0.4469223917,0.330450207,661.2734375,1171.2501220703,0.3918786645,0.6844933033,0.0973619446,64.0,0.4253727027083772,0.3590150760923266,0.4371713304413859,0.6104184161319658,0.611973364648694,1.040799341224333,artefacts
96.9907458795,25.6151242916,0.618117922,40.2777799118,42.4229276629,0.8671363441,0.5996168582,0.8817891374,0.2834001277,0.5103435693,0.1119344086,0.7409650474,1.6564223355,0.2037566111,2.0,3.0,0.0,4.0,0.0,1.0365037918,0.684832871,0.472222209,0.295933187,133.6535949707,228.7889862061,0.38264817,0.4309482872,0.1282701045,49.0,0.3824743538098502,0.3080999080744405,0.5493535056149154,0.740628467398655,1.1842338964051926,0.8726461168510234,artefacts
119.9845742582,21.5017051405,0.655552378,35.4166685431,51.1307233223,0.6859278656,0.6993464052,0.8442367601,0.2109872268,0.3842992503,0.0879452639,0.717143271,1.4826398404,0.2058864701,3.0,3.0,0.0,6.0,0.0,0.9636923075,0.719999969,0.5303030014,0.2896825373,128.2571411133,260.5647888184,0.383153379,0.6134656668,0.1445949525,63.0,0.2942051265513443,0.2591993280015464,0.4271541683010281,0.5506599663838538,0.6264397033082667,0.6082180766303028,artefacts
173.070996824,34.0974680031,0.2515369,74.2283989945,53.7913257564,0.2912130341,0.501039501,0.3609958506,0.2921860836,0.4796384093,0.1158704617,0.682989819,1.6015846812,0.2154065061,1.0,3.0,0.0,3.0,0.0,0.6464619637,0.6008010507,0.4503105581,0.3189655244,210.3758544922,384.3253479004,0.4095104933,0.9278806448,0.1024246514,70.0,0.4278044496004412,0.2994773956882673,0.5379153294757423,0.7135008464507153,0.5169182178634448,1.131275138516117,artefacts
205.2469244546,28.2376623202,0.4181337558,83.796300736,63.6605704092,0.1984759055,0.5101289134,0.9296028881,0.3176280818,0.5583346785,0.1140850856,0.5951597726,1.2806238027,0.1856583891,2.0,4.0,0.0,5.0,0.0,0.87482512,0.7594405413,0.4733893573,0.3024326265,280.6627197266,582.9067382813,0.4473470747,0.7709475756,0.1045793369,63.0,0.5336854008334905,0.4359864913668139,0.6144892571407106,0.7100260620079115,0.724218735710361,1.09089509440177,artefacts
160.4166751658,36.2836042469,0.309884311,59.4907438927,28.364669467,0.7374143342,0.560311284,0.9259259259,0.2352581913,0.3612697778,0.0911722922,0.5128320017,1.2371187417,0.1592506828,2.0,2.0,0.0,5.0,0.0,0.4662480354,0.7516483068,0.4338521361,0.3026905954,184.7937164307,343.4184570313,0.4221265018,0.6407963037,0.1315527409,60.0,0.4587431956666833,0.292025143280553,0.5725080143894995,0.5573168002881358,0.5637825557263745,0.6930474543993329,artefacts
112.6543269563,22.3673624562,0.4089881457,44.3672863013,57.0357628087,0.7237349695,0.6139130435,0.8243626062,0.308198993,0.6179819509,0.1103494155,0.7399679401,1.5864696653,0.23701043,3.0,4.0,0.0,6.0,0.0,0.8091346025,0.605769217,0.5069637895,0.3113553226,140.6593475342,262.4432373047,0.6186740994,1.084654808,0.1640942544,64.0,0.4165031703378252,0.3895327874316084,0.4655888582624824,0.4981604907961983,0.5697498838727315,0.672475803028482,artefacts
137.1913652934,27.9069690786,0.5905306607,57.1759289552,67.3394086957,0.6088756814,0.6315789474,0.7051282051,0.269265834,0.5155538922,0.0966919081,0.575926083,1.3531005328,0.1819972602,2.0,2.0,0.0,4.0,0.0,0.9391304255,0.694565177,0.5010989308,0.2984892726,195.2675476074,403.2569580078,0.3244959712,0.5443014503,0.1130769625,64.0,0.467535404191791,0.3810166944012306,0.531282218170447,0.8297971558914689,0.9471844910864092,0.8550982088858285,artefacts
122.8395126811,22.97638915,0.2774089314,59.3364228968,44.2020637081,0.6104598349,0.2626788036,0.2673267327,0.340033706,0.5643952245,0.1131117858,0.702311869,1.6985766208,0.2060208449,1.0,2.0,0.0,2.0,0.0,0.9465776086,0.6701168418,0.4190871418,0.3025302589,167.6039581299,307.6244506836,0.5039334893,0.9257622361,0.1041054353,64.0,0.4841634051894401,0.3322753990539324,0.5490307830496622,0.6747590966266825,0.6096546202593585,1.086511818273911,artefacts
